Zvalue	Max	Min	zRange	zRangePrev	IO
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
9119	9110	9100	27	27	7000
